,time,trackID,ERK_KTR,ndbErk,posx,posy,posz,meas.bin,ERK_KTR.resc,ERK_KTR.bin
3139,20,28,0.9488,0.0,20.5693442462449,1.24213922576194,-0.117576337238383,0,0.018199999999999994,0
3140,21,28,0.9021,0.0,20.5138617701671,1.20315797137619,-0.0511107528444144,0,0.0,0
3141,22,28,0.9201,0.0,20.4058547185558,1.163107980933,-0.0659311227247004,0,0.0,0
3142,23,28,0.9035,0.0,20.2879640995643,1.19018438019315,-0.17265764321575,0,0.0,0
3143,24,28,0.918,0.0,20.2237756491756,1.20068379443865,-0.334076575909949,0,0.0,0
3144,25,28,0.9424,0.0,20.378637668348,1.10830818097563,-0.546282775634847,0,0.0,0
3145,26,28,0.9335,0.0,20.5931388507999,1.09909971004574,-0.679657084691545,0,0.0,0
3146,27,28,0.9382,0.0,20.6986769444697,1.20034304303461,-0.733349466583419,0,0.0,0
3147,28,28,0.974,0.0,20.6744351665649,1.17202822414726,-0.822556659812966,0,0.027200000000000002,0
3148,29,28,0.9823,0.0,20.5737648253859,0.958324529174563,-0.889864482895649,0,0.035499999999999976,0
3149,30,28,1.0293,0.0,20.5067141948615,0.779722257579068,-0.950703536277847,0,0.035499999999999976,0
3150,31,28,0.9714,0.0,20.4730501471885,0.703596382229142,-1.11478747708304,0,0.08250000000000013,0
3151,32,28,1.0363,0.0,20.4429988912843,0.558438842316844,-1.26550435784025,0,0.05359999999999998,0
3152,33,28,1.0018,0.0,20.4383485167018,0.368337244242415,-1.29486454141474,0,0.05359999999999998,0
3153,34,28,0.973,0.0,20.4259032418216,0.241199819965665,-1.31650936360314,0,0.033299999999999996,0
3154,35,28,0.9821,0.0,20.4041857615355,0.270944523676345,-1.27501464098228,0,0.033299999999999996,0
3155,36,28,0.9982,0.0,20.4163928939345,0.393283714411436,-1.09633726878028,0,0.03280000000000005,0
3156,37,28,0.9877,0.0,20.4787710515878,0.492746728843673,-1.09659376835827,0,0.03280000000000005,0
3157,38,28,0.9839,0.0,20.5461094929866,0.679149092952104,-1.08778025475976,0,0.029000000000000026,0
3158,39,28,0.9594,0.0,20.5375098806974,0.839585080641092,-0.948069721095155,0,0.009199999999999986,0
3159,40,28,0.9641,0.0,20.4748384726872,0.774453113520208,-1.00437902177745,0,0.0023000000000000798,0
3160,41,28,0.958,0.0,20.432545499667,0.640634254557235,-1.26566300926336,0,0.007000000000000006,0
3161,42,28,0.9723,0.0,20.4488928533959,0.545232855470366,-1.50468120501103,0,0.015200000000000102,0
3162,43,28,0.9724,0.0,20.4809674166783,0.382625028618192,-1.6809560658337,0,0.015200000000000102,0
3163,44,28,0.9688,0.0,20.4649338428016,0.3066690109929,-1.84567192076513,0,0.011700000000000044,0
3164,45,28,0.962,0.0,20.3925024171356,0.332520024136518,-2.13665994947552,0,0.0049000000000000155,0
3165,46,28,0.9578,0.0,20.3154989677022,0.319773894442754,-2.39654953338906,0,0.0007000000000000339,0
3166,47,28,0.9571,0.0,20.2936666041157,0.294229183539681,-2.15035661114933,0,0.0,0
3167,48,28,0.9368,0.0,20.2810791316658,0.283318058810047,-1.73533171406178,0,0.0,0
3168,49,28,0.9638,0.0,20.277427165785,0.293855488843174,-1.70888388037605,0,0.0,0
3169,50,28,0.9482,0.0,20.2761840128254,0.32662930030534,-1.78925259500487,0,0.0,0
3170,51,28,0.9468,0.0,20.2235050300503,0.298881950998666,-1.94255285197908,0,0.0,0
3171,52,28,0.9347,0.0,20.1383493192263,0.225060922251249,-2.20083457909926,0,0.0,0
3172,53,28,0.9798,0.0,20.1378414306937,0.135103892437346,-2.44706292053409,0,0.0,0
